aah	a cry of delight
counterfactual	contrary to what actually happened
counterfeit	fake, made to deceive
counterinsurgency	military action against rebels
counterintelligence	efforts to stop enemy spying
counterintuitive	against what you'd expect
countermeasure	an action against a threat
counteroffensive	a military response attack
counterpart	someone with the same role
counterpoint	a contrasting element
counterproductive	working against the desired goal
counterpunch	a punch thrown in response
counterrevolutionary	opposing a revolution
counterstrike	to strike back in response
counterterrorism	efforts to stop terrorist attacks
countertop	a kitchen flat surface
counterweight	a weight balancing another
countess	a noblewoman of certain rank
counting	adding up numbers
countless	too many to count
countryman	a person from one's country
countryside	rural land away from cities
countrywide	across an entire nation
countywide	across an entire county
coup	a sudden seizure of power
coupe	a two-door car
coupled	joined together
coupler	a connecting device
couplet	a pair of rhyming lines
coupling	the joining of two things
coupon	a voucher for a discount
courageous	very brave
courageously	in a brave way
courgette	a green summer squash
courier	a message or package deliverer
courser	a swift horse
coursework	assignments done for a class
coursing	dog-chasing sport
courteous	polite and respectful
courteously	in a polite way
courtesan	a wealthy man's mistress
courtesy	polite behavior
courthouse	a building where trials happen
courtier	a royal court attendant
courting	trying to win someone's affection
courtly	very polite and refined
courtroom	a trial-holding room
courtship	the period of romantic wooing
courtyard	a walled open space
couscous	a small grain-like pasta
couture	high fashion clothing design
couturier	a high-fashion designer
covalent	sharing electrons between atoms
covariance	a joint-variation measure
covariant	changing together jointly
cove	a small sheltered bay
coven	a group of witches
covenant	a formal binding agreement
covert	secret and hidden
covertly	secretly
covet	to want something greatly
coveted	greatly desired
covetous	greedy for what others have
covetousness	strong desire for others' things
covey	a small flock of birds
cow	a milk farm animal
coward	a person who lacks courage
cowardice	a lack of courage
cowardly	lacking courage
cowbell	a cow's neck bell
cowboy	a man who herds cattle
cower	to crouch down in fear
cowgirl	a woman who herds cattle
cowherd	a person who tends cattle
cowhide	the skin of a cow
cowl	a hood covering the head
cowling	an engine metal cover
cows	female farm animals
cox	a rowing boat steerer
coxswain	a rowing boat steerer
coy	shyly playful or evasive
coyly	in a shyly playful way
coyote	a wild dog-like animal
cozy	warm and comfortable
cps	cycles-per-second unit
crab	a clawed shelled creature
crabby	easily irritated
crabs	shelled sea creatures with claws
crackdown	a strict enforcement action
cracked	broken with a split
cracker	a thin crisp biscuit
crackerjack	someone very skilled
crackers	thin crisp biscuits
cracking	excellent or very good
crackle	lightly crisp textured
crackling	sharp popping sounds
crackpot	a person with strange ideas
cradle	a baby's small bed
crafter	a handmade item maker
craftsman	a skilled manual worker
craftsmanship	hand-making skill
crafty	clever in a sly way
crag	a steep rugged rock
craggy	rough and rocky
cram	to force into space
cramp	a sudden painful muscle tightening
cramped	uncomfortably small
cran	an old fish unit
cranberry	a small tart red berry
crane	a heavy-lifting machine
cranial	relating to the skull
cranium	the skull
crank	irritable or eccentric
crankcase	an engine crankshaft housing
crankshaft	an engine motion rod
cranky	easily irritated
cranny	a small narrow opening
crapper	slang for a toilet
crappie	a small freshwater fish
crappy	of poor quality
craps	a dice gambling game
crasher	someone who attends uninvited
crashing	extremely, as an intensifier
crass	rude and lacking sensitivity
crate	a large wooden box
crater	a bowl-shaped hollow
cravat	a neck scarf
crave	to want something intensely
craved	wanted intensely
craven	cowardly
craving	an intense desire
craw	a bird's stomach
crawfish	a small freshwater shellfish
crawl	moving on hands and knees
crawler	something moving slowly along
crawling	moving on hands and knees
crawlspace	a low under-building space
crayfish	a small freshwater shellfish
crayon	a colored wax drawing stick
craze	a brief widespread enthusiasm
crazed	wildly out of control
crazily	in a wild, uncontrolled way
craziness	wild, irrational behavior
creak	a sharp squeaking sound
creaking	making a sharp squeaking sound
creaky	making squeaking sounds
creamer	a coffee-lightening substance
creamery	a dairy-making place
creampie	a cream-filled dessert
creamy	smooth and rich like cream
crease	a line made by folding
creatine	a muscle energy supplement
creationism	belief god created the world
creatively	in an inventive way
creativity	ability to invent new things
creator	someone who makes something
creature	a living animal or being
creche	a nursery for young children
cred	respect or trustworthiness
credence	belief that something is true
credential	proof of qualification
credentials	proof of qualifications
credibility	being believable
credible	believable and trustworthy
credibly	in a believable way
creditable	deserving some praise
credited	given recognition for something
creditor	person owed money
credits	work contributors list
creditworthiness	ability to repay debts reliably
credo	a set of guiding beliefs
credulity	tendency to believe too easily
credulous	too ready to believe things
creed	a system of religious belief
creel	a basket for caught fish
creep	an unpleasant, unsettling person
creeper	a surface-growing plant
creepiness	an unsettling, unpleasant quality
creeping	moving slowly and quietly
creeps	a fearful uneasy feeling
creepy	causing an uneasy fear
cremate	to burn a dead body
cremation	burning a body after death
crematorium	a body-cremating place
crematory	a body-cremating place
creole	a mixed language or culture
creosote	a wood-preserving tar
crepe	a thin pancake
crescendo	steadily growing louder
crescent	shaped like a curved moon
cress	a small leafy salad plant
crest	the top of something
crested	having a tuft on top
crestfallen	sad and disappointed
cretaceous	an ancient geologic period
cretin	an insulting fool term
crevasse	a deep crack in ice
crevice	a narrow crack or gap
crewman	a ship crew member
crib	a baby's small bed
cribbage	a card game with pegs
crick	a painful muscle stiffness
cricketer	someone who plays cricket
crier	someone who announces news publicly
criminalisation	making something a crime
criminalise	to make something a crime
criminality	the state of being criminal
criminalization	making something illegal
criminalize	to make something a crime
criminally	in a criminal manner
criminologist	someone who studies crime
criminology	the study of crime
crimp	a tight fold or wave
crimson	a deep red color
cringe	a feeling of embarrassment
cringey	causing embarrassment
cringing	shrinking back in fear
crinkle	a small wrinkle or fold
crinkled	full of small wrinkles
crinkly	having many small wrinkles
cripple	someone with a disability
crippled	badly disabled or damaged
crippling	severely damaging or disabling
crisp	pleasantly firm and fresh
crisply	in a firm, clear way
crispness	pleasant firmness or freshness
crispy	pleasantly hard and crunchy
crisscross	made of crossing lines
crisscrossed	marked with crossing lines
cristal	a brand of champagne
crit	a critical review
criterion	a standard for judging
criterium	a bicycle road race
critic	someone who judges and evaluates
criticality	extreme importance or urgency
critically	in a very important way
criticise	to point out faults
criticize	to point out faults
critique	a detailed evaluation of something
critter	a small animal
croak	a low, rough sound
croaker	an animal that croaks
croaking	making a low rough sound
crochet	needlework using a hooked needle
crocheting	making things with a hook
crock	an earthenware pot
crockery	dishes and cups
crocodile	a large aquatic reptile
crocus	a small spring flower
croft	a small rented farm
croissant	a flaky crescent pastry
crone	an old, often ugly woman
cronk	a harsh croaking sound
crony	a close, often unfair, friend
cronyism	favoring friends unfairly
crook	a dishonest person
crooked	bent or dishonest
croon	to sing softly and gently
crooner	a soft-song singer
crooning	singing softly and gently
crop	a farmed plant harvest
cropped	cut short
cropper	a bad fall or failure
croquet	a lawn game with mallets
crore	ten million, in south asia
crossbar	a horizontal bar
crossbones	crossed skull-symbol bones
crossbow	a stock-mounted bow
crossbreed	an animal from two breeds
crossbreeding	mixing different breeds
crosscheck	a check against another source
crosse	a lacrosse stick
crossfire	gunfire from multiple directions
crosshairs	aiming sight lines
crossover	a mix of different styles
crossroad	a place where roads meet
crossroads	a place where roads meet
crosstalk	unwanted signal interference
crosstown	going across a city
crosswalk	a marked pedestrian crossing
crosswind	wind blowing sideways
crosswise	lying across something
crossword	a grid word puzzle
crotch	the area between the legs
crotchety	easily annoyed and grumpy
croton	a colorful tropical shrub
crouch	to bend low down
croup	a childhood cough illness
crow	a large black bird
crowbar	a metal bar for prying
crowded	full of many people
crowdfunding	raising money from many people
crowding	filling a space too full
crowdsourcing	getting help from many people
crowing	boasting proudly
crowned	given a crown
crowning	marking the finest achievement
crozier	a bishop's ceremonial staff
crucial	extremely important
crucially	in a very important way
cruciate	shaped like a cross
crucible	a container for melting metal
crucifix	a cross with jesus depicted
crucifixion	death by cross-nailing
cruciform	shaped like a cross
crucify	to kill by cross-nailing
crud	unpleasant dirt or grime
cruddy	dirty and unpleasant
crude	rough and not refined
crudely	in a rough, unrefined way
cruel	causing deliberate pain or suffering
cruelly	in a harsh, painful way
cruelty	deliberately causing pain
cruise	a leisurely voyage by ship
cruiser	a fast warship or vehicle
cruiserweight	a mid-heavy boxing weight class
crumb	a tiny piece of food
crumble	to break into small pieces
crumbly	easily breaking into pieces
crummy	poor in quality
crump	a dull crunching sound
crumpet	a small soft griddle cake
crumple	to crush into wrinkles
crumpled	crushed into wrinkles
crunch	a loud crackling sound
crus	the lower leg
crusade	a passionate cause campaign
crusader	someone fighting for a cause
cruse	a small earthen jar
crush	an intense but brief infatuation
crushed	badly damaged by pressure
crusher	a machine that crushes things
crushing	overwhelmingly powerful
crust	the hard outer layer
crustacean	a hard-shelled water animal
crustal	relating to earth's outer layer
crusted	covered with a hard layer
crusty	having a hard outer layer
crutch	a support for walking
crux	a problem's central point
crybaby	someone who cries too easily
cryogenic	relating to extreme cold
cryogenics	the science of extreme cold
crypt	an underground burial chamber
cryptic	mysterious and hard to understand
cryptically	in a mysterious, puzzling way
cryptocurrency	digital money using encryption
cryptographic	relating to secret codes
cryptography	the science of secret codes
cryptology	the study of secret codes
crystalline	clear like a crystal
crystallised	formed into clear solid crystals
crystallization	forming into clear crystals
crystallize	to become clear and definite
crystallized	formed into clear crystals
crystallography	the study of crystal structure
cub	a young wild animal
cubby	a small enclosed space
cube	a six-sided solid shape
cubic	measured in three dimensions
cubical	shaped like a cube
cubicle	a small partitioned office space
cubism	an abstract geometric art style
cubist	relating to abstract geometric art
cubit	an ancient unit of length
cuboid	shaped roughly like a cube
cuckold	an unfaithful wife's husband
cuckoo	a distinctively-calling bird
cucumber	a long green vegetable
cud	food chewed again by cattle
cuddle	a warm, affectionate hug
cuddling	holding closely and affectionately
cuddly	nice to hug
cuddy	a small ship's cabin
cudgel	a short heavy club
cue	a signal to act
cuff	a sleeve's end part
cuisine	a style of cooking
cul	a dead end
culinary	relating to cooking
cull	a reduction by killing some
culminate	to reach a final result
culmination	the final, highest point
culpability	being responsible for wrongdoing
culpable	deserving blame
culprit	the person responsible for wrongdoing
cult	a devoted religious group
cultist	a member of a cult
cultivable	able to be farmed
cultivar	a bred variety of plant
cultivate	to grow and tend plants
cultivated	carefully grown or refined
cultivation	growing and tending plants
cultivator	a cultivating person or tool
culturally	relating to a society's customs
cultured	refined and well educated
culvert	a road drainage pipe
cum	together with, in addition
cumbersome	awkward and hard to manage
cumin	a spice from a seed
cummings	a common english surname
cumulative	building up over time
cumulatively	added together over time
cumulus	a puffy white cloud
cuneiform	an ancient wedge-shaped writing
cunnilingus	oral stimulation of female genitals
cunning	cleverly deceitful
cunningly	in a cleverly deceitful way
cunt	a vulgar word for genitals
cupboard	a small storage closet
cupcake	a small individual cake
cupid	the god of romantic love
cupola	a small roof dome
cuppa	a cup of tea
cupping	an alternative medicine suction therapy
cur	a mongrel or worthless dog
curable	able to be healed
curacao	an orange-flavored liqueur
curate	a member of the clergy
curative	helping to heal
curator	someone who manages a collection
curatorial	relating to managing a collection
curb	to hold back or restrain
curbing	restraining or limiting
curbside	the edge of a street
curd	a soft dairy solid
curdle	to turn thick and lumpy
curdled	turned thick and lumpy
curdling	turning thick and lumpy
cured	preserved by salting or drying
curfew	a set indoor time
curie	a unit of radioactivity
curing	preserving food by treatment
curio	a rare, interesting small object
curiosity	a desire to know
curiously	in an inquisitive way
curl	a spiral twist of hair
curled	twisted into a spiral shape
curler	a tool for curling hair
curlew	a long-billed wading bird
curling	a sport played on ice
curly	full of tight twists
curmudgeon	a grumpy, stubborn person
currant	a small dried grape
curricular	about a study course
curriculum	a course of study
currier	someone who prepares leather
curry	a spiced stew dish
curse	a wish for harm
cursed	affected by an evil spell
cursive	joined, flowing handwriting
cursor	a moving screen pointer
cursory	quick and not thorough
curt	rudely brief in speech
curtail	to cut something short
curtailment	a cutting short or reduction
curtain	window-covering fabric
curtly	in a rudely brief way
curtsy	a knee-bending polite bow
curvaceous	having an attractive curved shape
curvature	the degree of being curved
curve	a smoothly bending line
curved	shaped like a bend
curvilinear	made of curved lines
curving	bending smoothly
curvy	having pleasing curves
cushion	a soft padded pillow
cushioned	softened with padding
cushioning	soft padding that absorbs shock
cushy	easy and comfortable
cusp	the point just before change
cuss	a swear word
cussed	stubborn and obstinate
custard	a sweet creamy dessert
custodial	relating to guarding or care
custodian	a caretaker of a place
custody	legal care or guardianship
customarily	usually or traditionally
customary	usual and traditional
customise	to change to suit needs
customize	to change to suit needs
customs	taxes on imported goods
cutaneous	relating to the skin
cutaway	a diagram showing inner parts
cutback	a reduction in something
cutch	a tanning extract from wood
cuteness	the quality of being cute
cuticle	skin at a nail's base
cutlass	a short curved sword
cutler	someone who makes knives
cutlery	knives, forks, and spoons
cutlet	a small slice of meat
cutoff	a point where something stops
cutout	a shape cut from material
cutter	a cutting tool or ship
cutthroat	fiercely and ruthlessly competitive
cuttlefish	a squid-like sea creature
cwm	a steep mountain hollow
cwt	a unit of weight, hundredweight
cyan	a greenish blue color
cyanide	a deadly poisonous chemical
cyanobacteria	blue-green photosynthetic bacteria
cyanogen	a poisonous gas compound
cybercrime	crime committed using computers
cybernetic	relating to man-machine control systems
cybernetics	the study of control systems
cyberpunk	a futuristic dystopian genre
cybersex	sexual talk over the internet
cyberspace	the online digital world
cyborg	a part-human, part-machine being
cyclamen	a flowering houseplant
cyclic	happening in repeating cycles
cyclical	happening in repeating cycles
cycling	riding a bicycle
cyclist	someone who rides a bicycle
cyclone	a powerful rotating storm
cyclonic	relating to a rotating storm
cyclopedia	a reference book of knowledge
cyclops	a one-eyed mythical giant
cyclotron	a machine that accelerates particles
cylinder	a tube-shaped solid object
cylindrical	shaped like a tube
cymbal	a metal percussion disc
cynic	someone distrustful of good motives
cynical	distrustful of people's motives
cynically	in a distrustful, sneering way
cynicism	distrust of people's motives
cypher	a secret code system
cypress	a tall evergreen tree
cyprian	relating to cyprus
cyst	a fluid-filled lump under skin
cysteine	an amino acid in proteins
cystic	relating to fluid-filled sacs
cystitis	inflammation of the bladder
cytochrome	a protein in cell respiration
cytogenetic	relating to cells and genetics
cytokine	a cell-signaling protein
cytology	the study of cells
cytomegalovirus	a common herpes-family virus
cytoplasm	the fluid inside a cell
cytoplasmic	relating to a cell's fluid
cytosine	a building block of dna
cytoskeleton	a cell's internal support structure
cytosol	the liquid inside a cell
cytotoxic	harmful or deadly to cells
cytotoxicity	harm degree to cells
czar	a russian emperor
czarist	relating to russian emperors
dab	a small light touch
dabbing	touching lightly and quickly
dabble	to try something casually
dabbled	tried something a little, casually
dace	a small freshwater fish
dacha	a russian country house
dachshund	a long-bodied short-legged dog
dada	an absurdist art movement
dado	a lower wall panel
daemon	a background computer program
daffodil	a yellow spring flower
daft	silly or foolish
dag	a matted lock of wool
dagger	a short pointed knife
daguerreotype	an early type of photograph
dah	a long morse code signal
dahl	a spiced lentil dish
dahlia	a colorful garden flower
daikon	a large white radish
daimon	a guiding spirit or force
dainty	small and delicate
daiquiri	a rum-based cocktail
dairy	relating to milk products
dairying	the milk products business
dais	a raised platform for speakers
daisy	a small white flower
dak	an old mail relay system
dal	a spiced lentil dish
dale	a valley
dalliance	a brief casual romance
dally	to waste time
dalmatian	a spotted dog breed
dam	a water-holding barrier
damages	money paid for harm
damaging	causing harm
damascene	decorated with wavy patterns
damask	woven with a rich pattern
dame	an older woman
damnable	deserving strong condemnation
damnation	eternal punishment
damned	condemned or cursed
damning	strongly suggesting guilt
damp	slightly wet
dampen	to make slightly wet
dampening	reducing in force or intensity
damper	something that reduces enthusiasm
dampness	slight wetness
damsel	a young woman
damson	a small dark plum
danceable	fun to dance to
dancer	someone who dances
dandelion	a fluffy-seeded yellow weed
dander	loose skin flakes from animals
dandruff	dead scalp skin flakes
dandy	very good or fine
dangerously	in a risky way
dangle	to hang loosely
dangling	hanging loosely
danish	a sweet pastry
dank	unpleasantly damp and cold
daphne	a flowering shrub
daphnia	a tiny water flea
dapper	neat and stylish
dappled	marked with patches of color
daredevil	recklessly bold
daring	willing to take risks
daringly	in a bold, risky way
darken	to make darker
darkened	made dark
darkening	becoming darker
darkling	growing dark
darkly	in a gloomy way
darkroom	a room for developing photos
darling	dearly loved
darn	a mended hole in fabric
darned	mended with stitches
dart	a small pointed missile
darter	a small fast-moving fish
darts	a missile-throwing game
das	a formal male title
dash	a quick short run
dashboard	a car's instrument panel
dashcam	a car-mounted camera
dashed	moved quickly
dashing	stylish and attractive
dastardly	wicked and cowardly
dated	old-fashioned
dateline	a time-zone or report line
dative	an indirect-object verb case
datum	a single piece of information
daub	a paint smear
daunt	to discourage or intimidate
daunted	discouraged or intimidated
daunting	intimidating or discouraging
dauntless	fearless and determined
dauphin	the french throne heir
davenport	a small writing desk
daw	a type of crow
dawah	islamic religious outreach
dawn	the first light of day
dawning	beginning to appear
daybreak	the start of daylight
daycare	supervised care for young children
daydream	a pleasant distracted thought
daydreaming	drifting into pleasant thoughts
daylight	natural light of day
daylong	lasting all day
daytime	the hours of daylight
daze	a state of confusion
dazed	confused and unclear-thinking
dazzle	to impress with brilliance
dazzled	impressed by brilliance
dazzling	extremely impressive or bright
dazzlingly	in a stunningly impressive way
deacon	a church official
deaconess	a female church official
deactivate	to turn off or disable
deactivation	the act of turning off
deadbeat	someone who avoids responsibilities
deadbolt	a strong sliding door lock
deadening	reducing feeling or sound
deadhead	someone who removes spent flowers
deadlift	a weightlifting exercise
deadline	the latest due time
deadlock	a standstill where nothing progresses
deadlocked	stuck with no progress
deadly	capable of causing death
deadpan	showing no emotion or expression
deadwood	dead tree branches
deaf	unable to hear
deafened	made unable to hear
deafening	extremely loud
deafness	the inability to hear
dealer	a goods buyer and seller
dealership	a business selling vehicles
dealings	business or personal interactions
deanery	a dean's office or house
dearest	a term of affection
dearie	an affectionate term for someone
dearly	very much
dearth	a scarcity of something
deary	an affectionate term for someone
deathbed	the bed where someone dies
deathless	living or lasting forever
deathly	resembling death
deathtrap	a very dangerous place
deb	a young woman entering society
debacle	a disastrous failure
debase	to lower in value
debased	lowered in value or quality
debasement	a lowering of value
debasing	lowering in value or dignity
debatable	open to question
debater	someone who argues formally
debauched	morally corrupt from excess
debauchery	excessive indulgence in pleasure
debenture	an unsecured loan certificate
debilitated	weakened
debilitating	causing weakness
debit	money taken from an account
debonair	charming and confident
debridement	removal of damaged tissue
debrief	to question after an event
debriefing	a post-event questioning
debris	scattered broken pieces
debtor	someone who owes money
debug	to fix errors in software
debugger	a software-error finding tool
debunk	to prove false
debunking	proving something false
debutante	a young woman entering society
dec	short for december
decadence	excessive luxury and pleasure
decadent	excessively luxurious
decaf	coffee without caffeine
decal	a transferred sticker
decamp	to leave suddenly
decant	to pour liquid carefully
decanter	a container for serving wine
decapitate	to cut off the head
decapitated	having a cut-off head
decapitation	cutting off a head
decarboxylase	an enzyme removing carbon dioxide
decathlon	a ten-event athletic contest
decay	gradual rotting or breakdown
decayed	rotted or broken down
decease	death
deceased	no longer living
decedent	a person who has died
deceit	dishonest behavior
deceitful	dishonest and misleading
deceive	to mislead someone
deceiver	someone who misleads others
decelerate	to slow down
deceleration	a slowing down
decency	proper and respectable behavior
decently	in a proper, respectable way
decentralisation	spreading power from one center
decentralised	spread away from one center
decentralization	spreading power from one center
decentralize	to spread power away
decentralized	spread from central authority
deception	the act of misleading someone
deceptive	misleading or dishonest
deceptively	in a misleading way
decibel	a unit of sound loudness
decidedly	clearly and definitely
deciding	determining the outcome
deciduous	shedding leaves seasonally
decile	a tenth statistical part
decimal	based on units of ten
decimate	to destroy a large part
decimation	widespread destruction
decipher	to figure out hidden meaning
deciphered	figured out or translated
decisive	settling an outcome firmly
decisively	in a firm, determined way
decisiveness	the quality of deciding firmly
decker	a vehicle level
deckhand	a ship deck worker
declaration	a formal announcement
declarative	stating something plainly
declaratory	serving to declare something
declare	to state something officially
declarer	someone who states something formally
declassification	the removal of secrecy status
declassified	no longer classified as secret
declassify	to remove secrecy status
declension	a noun's grammatical inflection pattern
declination	a polite refusal or downward angle
deco	an early 20th century style
decoction	a boiled ingredient liquid
decode	to translate into understandable form
decoder	a coded-signal translator
decoding	translating a code
decolonization	ending colonial rule
decommission	to take out of service
decompose	to rot or break down
decomposition	the process of rotting
decompress	to release pressure
decompression	the release of pressure
deconstruct	to break into basic parts
deconstruction	breaking into basic parts
decontaminate	to remove harmful substances
decontamination	the removal of harmful substances
decor	a room's furnishing style
decorate	to make something more attractive
decorated	made more attractive with ornaments
decoration	a beautifying ornament
decorative	serving to make something attractive
decorator	someone who designs interior spaces
decorum	polite and proper behavior
decouple	to separate two connected things
decoy	something used to mislead
decrease	a reduction in amount
decreased	reduced in amount
decreasing	becoming smaller in amount
decree	an official order
decreed	ordered officially
decrement	a decrease in amount
decrepit	old and in poor condition
decriminalisation	making an act legal
decriminalization	making an act legal
decriminalize	to make an act legal
decry	to publicly criticize
decrypt	to convert code into readable form
decryption	the process of decoding data
dedicate	to devote to a purpose
dedication	strong commitment to a purpose
deduce	to work out through reasoning
deduct	to subtract from a total
deductible	able to be subtracted
deduction	a conclusion reached through reasoning
deductive	based on logical reasoning
deed	an official legal document
deeds	actions performed
deem	to consider or judge
deepen	to make deeper
deepening	becoming more intense
deer	a hoofed forest animal
deface	to spoil a surface
defamation	false statements damaging reputation
defamatory	damaging someone's reputation falsely
defame	to damage someone's reputation falsely
default	a standard option used automatically
defeated	beaten in a contest
defeatism	readiness to accept failure
defeatist	someone who expects failure
defecate	to pass body waste
defecation	the passing of solid waste
defect	a flaw or imperfection
defection	abandoning one's cause
defective	having a flaw
defector	someone who abandons their group
defenceless	unable to protect oneself
defendant	a person accused in court
defender	someone who protects
defenseless	unable to protect oneself
defensible	able to be justified
defensively	guarding against attack
defensiveness	guarding against criticism
defer	to put off until later
deference	respectful submission to another
deferential	showing great respect
deferment	a postponement
deferral	a postponement
defiance	open resistance to authority
defiant	openly resisting authority
defiantly	in an openly resisting way
defibrillator	a heart-restarting device
deficiency	a lack of something needed
deficient	lacking something needed
deficit	an amount falling short
defile	a narrow mountain pass
defiled	made impure or dirty
defilement	the act of making impure
definable	able to be clearly explained
defining	establishing the essential nature of
definite	clearly stated and certain
definitive	final and authoritative
deflate	to let air out of
deflated	having had air let out
deflation	a price or pressure decrease
deflationary	causing prices to fall
deflect	to turn something aside
deflection	a turning aside
deflector	something that turns things aside
deforest	to clear away trees
deforestation	the clearing of forests
deform	to change natural shape
deformation	a change in natural shape
deformed	having an abnormal shape
deformity	an abnormal body shape
defraud	to cheat someone of money
defray	to pay a cost for
defrost	to remove ice from
deft	skillful and quick
deftly	skillfully and quickly
defunct	no longer existing or working
defuse	to calm a danger
defusing	making a dangerous situation calmer
defy	to openly refuse to obey
degas	to remove gas from liquid
degeneracy	a state of moral decline
degenerate	declined from normal
degeneration	a gradual decline in quality
degenerative	causing gradual worsening
degradation	a decline in quality
degrade	to lower in quality
degraded	lowered in quality or dignity
degrading	humiliating or demeaning
dehumanization	treating people as less human
dehumanize	to treat as less than human
dehumanized	treated as less than human
dehumidifier	an air-moisture remover
dehydrate	to remove water from
dehydrated	lacking needed water
dehydration	a harmful water loss
deification	treating someone as a god
deign	to act reluctantly, feeling superior
deism	belief in a distant creator
deist	about a distant creator belief
deity	a god or goddess
dejected	sad and discouraged
dejection	sadness and low spirits
delayed	made to happen later
delectable	very pleasing to taste
delegate	a representing person
delegating	assigning tasks to others
delegation	a representing group
delete	to remove or erase
deleterious	harmful
deletion	the act of removing something
delft	blue and white glazed pottery
deli	a shop selling prepared foods
deliberate	done on purpose
deliberately	on purpose
deliberation	careful thought before deciding
deliberative	involving careful discussion
delicacy	a rare or fine food
delicate	easily damaged or broken
delicately	in a careful, gentle way
delicatessen	a shop selling prepared foods
deliciously	in a very tasty way
deliciousness	the quality of tasting wonderful
delight	great pleasure
delighted	very pleased
delightful	very pleasing
delightfully	in a very pleasing way
delimit	to fix the boundaries of
delimitation	the fixing of boundaries
delimited	having fixed boundaries
delineate	to describe or outline precisely
delineated	described or outlined precisely
delineation	a precise outline or description
delinquency	minor youth crime
delinquent	failing to do what's required
delirious	confused from illness
deliriously	in a wildly confused way
delirium	a state of extreme confusion
deliverable	able to be delivered
deliverance	rescue from danger or hardship
deliverer	someone who rescues or brings
dell	a small wooded valley
delta	a river-mouth triangular land
deltoid	shaped like a triangle
delude	to trick with false belief
deluge	a heavy flood of rain
delusion	a false belief held firmly
delusional	believing false things
deluxe	very fancy and high quality
delve	to search deeply into something
demagogue	a crowd-stirring liar leader
demagoguery	rabble-rousing political talk
demanding	needing much effort
demarcate	to mark the boundary of
demarcation	a boundary line
demean	to make seem less worthy
demeaning	making someone feel worthless
demeanor	the way someone behaves
demeanour	the way someone behaves
demented	mentally unstable or crazy
dementia	serious memory and thinking loss
demerara	a light brown raw sugar
demerit	a mark against good behavior
demesne	land belonging to a lord
demigod	part god, part human
demise	the end or death
demiurge	a divine world creator
demo	a short working sample
demobilization	sending soldiers home after war
democrat	a people's-rule supporter
democratically	chosen by the people
democratisation	making something open to everyone
democratization	making something open to everyone
democratize	to make available to everyone
demographic	relating to population statistics
demography	the study of population statistics
demolish	to tear down completely
demolished	torn down completely
demolishing	the act of tearing down
demolition	tearing down a building
demon	an evil spirit
demonetisation	withdrawing money from official use
demonetization	withdrawing money from official use
demonic	evil, like a demon
demonise	to portray as evil
demonization	portraying as evil
demonize	to portray as evil
demonstrable	able to be clearly shown
demonstrably	clearly shown to be true
demonstrate	to show clearly
demonstrated	clearly shown
demonstration	a public show of feeling
demonstrative	showing feelings openly
demonstrator	a person who protests publicly
demoralised	having lost confidence or spirit
demoralising	making someone lose confidence
demoralize	to make someone lose confidence
demoralized	having lost confidence or spirit
demoralizing	making someone lose confidence
demote	to lower someone's rank
demotic	relating to ordinary people's language
demotion	a lowering in rank
demure	shy and modest
demystify	to make understandable
den	a wild animal's home
denatured	changed from its natural state
dendrite	a nerve cell branch
dendritic	branching like a tree
dengue	a mosquito-spread fever
denial	refusing to accept truth
denier	a unit measuring fabric thickness
denigrate	to criticize unfairly
denigrating	unfairly criticizing
denigration	unfair criticism
denim	sturdy jeans fabric
denizen	an inhabitant of a place
denomination	a religious group or value unit
denominational	relating to a religious group
denominator	a fraction's bottom number
denote	to be a sign of
denouement	a story's final resolution
denounce	to publicly condemn
dense	packed tightly together
densely	in a tightly packed way
dent	a small blow-made dip
dental	relating to teeth
dentate	having small tooth-like points
dented	having a small dip
dentin	hard tissue under enamel
dentist	a doctor who treats teeth
dentistry	the treatment of teeth
dentition	the arrangement of teeth
denture	a false tooth set
denuded	stripped bare
denunciation	a public condemnation
deodorant	a body-odor masking product
depart	to leave a place
departed	having left
departing	in the process of leaving
departmental	about an organization division
departure	the act of leaving
depend	to rely on something
dependability	the quality of being reliable
dependable	reliable and trustworthy
dependant	relying on someone else
dependence	reliance on something
dependency	a state of relying on
dependent	relying on someone else
depersonalization	feeling detached from oneself
depict	to show in image or words
depicted	shown in image or words
depicting	showing in image or words
depiction	a portrayal in image or words
deplete	to use up gradually
depleted	used up or reduced
depletion	a gradual using up
deplorable	very bad and shameful
deplore	to strongly disapprove of
deploy	to put into position
deployment	putting into position
depolarization	loss of electric polarity
depopulated	emptied of its people
depopulation	a loss of population
deport	to expel a foreigner
deportation	the expulsion of a foreigner
deportment	a person's manner of behaving
depose	to remove from power
deposit	money paid in
depositary	one entrusted to hold something
deposition	a formal sworn statement
depositor	one who banks money
depository	a storage place
depot	a storage or transport station
depraved	morally corrupt
depravity	moral corruption
deprecating	self-critical in a modest way
deprecation	disapproval of something
depreciate	to lose value over time
depreciating	losing value over time
depreciation	a loss of value over time
depress	to make sad or lower
depressant	causing calm or reduced activity
depressed	feeling very sad
depressing	causing sadness
depressingly	in a way that saddens
depressive	a person with depression
deprivation	lacking basic needs
deprive	to take something away from
deprived	lacking basic needs
depths	the deepest extreme part
deputation	a group sent to represent
depute	to assign a task
derail	to knock off track
derailment	a train going off track
deranged	mentally disturbed
derangement	a state of madness
derby	a hat or race contest
deregulate	to remove official controls from
deregulation	the removal of official controls
